Date,Open,High,Low,Close,Adj Close,Volume
2019-11-15,1760.050049,1761.680054,1732.859985,1739.489990,1739.489990,3927600
2019-11-18,1738.300049,1753.699951,1722.709961,1752.530029,1752.530029,2839500
2019-11-19,1756.989990,1760.680054,1743.030029,1752.790039,1752.790039,2270800
2019-11-20,1749.140015,1762.520020,1734.119995,1745.530029,1745.530029,2790000
2019-11-21,1743.000000,1746.869995,1730.359985,1734.709961,1734.709961,2662900
2019-11-22,1739.020020,1746.430054,1731.000000,1745.719971,1745.719971,2479100
2019-11-25,1753.250000,1777.420044,1753.239990,1773.839966,1773.839966,3486200
2019-11-26,1779.920044,1797.030029,1778.349976,1796.939941,1796.939941,3181200
2019-11-27,1801.000000,1824.500000,1797.310059,1818.510010,1818.510010,3025600
2019-11-29,1817.780029,1824.689941,1800.790039,1800.800049,1800.800049,1923400
2019-12-02,1804.400024,1805.550049,1762.680054,1781.599976,1781.599976,3925600
2019-12-03,1760.000000,1772.869995,1747.229980,1769.959961,1769.959961,3380900
2019-12-04,1774.010010,1789.089966,1760.219971,1760.689941,1760.689941,2670100
2019-12-05,1763.500000,1763.500000,1740.000000,1740.479980,1740.479980,2823800
2019-12-06,1751.199951,1754.400024,1740.130005,1751.599976,1751.599976,3117400
2019-12-09,1750.660034,1766.890015,1745.609985,1749.510010,1749.510010,2442800
2019-12-10,1747.400024,1750.670044,1735.000000,1739.209961,1739.209961,2514300
2019-12-11,1741.670044,1750.000000,1735.709961,1748.719971,1748.719971,2097600
2019-12-12,1750.000000,1764.000000,1745.439941,1760.329956,1760.329956,3095900
2019-12-13,1765.000000,1768.989990,1755.000000,1760.939941,1760.939941,2745700
2019-12-16,1767.000000,1769.500000,1757.050049,1769.209961,1769.209961,3145200
2019-12-17,1778.010010,1792.000000,1777.390015,1790.660034,1790.660034,3644400
2019-12-18,1795.020020,1798.199951,1782.359985,1784.030029,1784.030029,3351400
2019-12-19,1780.500000,1792.989990,1774.060059,1792.280029,1792.280029,2652800
2019-12-20,1799.619995,1802.969971,1782.449951,1786.500000,1786.500000,5150800
2019-12-23,1788.260010,1793.000000,1784.510010,1793.000000,1793.000000,2136400
2019-12-24,1793.810059,1795.569946,1787.579956,1789.209961,1789.209961,881300
2019-12-26,1801.010010,1870.459961,1799.500000,1868.770020,1868.770020,6005400
2019-12-27,1882.920044,1901.400024,1866.010010,1869.800049,1869.800049,6186600
2019-12-30,1874.000000,1884.000000,1840.619995,1846.890015,1846.890015,3674700
2019-12-31,1842.000000,1853.260010,1832.229980,1847.839966,1847.839966,2506500
2020-01-02,1875.000000,1898.010010,1864.150024,1898.010010,1898.010010,4029000
2020-01-03,1864.500000,1886.199951,1864.500000,1874.969971,1874.969971,3764400
2020-01-06,1860.000000,1903.689941,1860.000000,1902.880005,1902.880005,4061800
2020-01-07,1904.500000,1913.890015,1892.040039,1906.859985,1906.859985,4044900
2020-01-08,1898.040039,1911.000000,1886.439941,1891.969971,1891.969971,3508000
2020-01-09,1909.890015,1917.819946,1895.800049,1901.050049,1901.050049,3167300
2020-01-10,1905.369995,1906.939941,1880.000000,1883.160034,1883.160034,2853700
2020-01-13,1891.310059,1898.000000,1880.800049,1891.300049,1891.300049,2780800
2020-01-14,1885.880005,1887.109985,1858.550049,1869.439941,1869.439941,3440900
2020-01-15,1872.250000,1878.859985,1855.089966,1862.020020,1862.020020,2896600
2020-01-16,1882.989990,1885.589966,1866.020020,1877.939941,1877.939941,2659500
2020-01-17,1885.890015,1886.640015,1857.250000,1864.719971,1864.719971,3997300
2020-01-21,1865.000000,1894.270020,1860.000000,1892.000000,1892.000000,3707800
2020-01-22,1896.089966,1902.500000,1883.339966,1887.459961,1887.459961,3216300
2020-01-23,1885.109985,1889.979980,1872.760010,1884.579956,1884.579956,2484600
2020-01-24,1891.369995,1894.989990,1847.439941,1861.640015,1861.640015,3766200
2020-01-27,1820.000000,1841.000000,1815.339966,1828.339966,1828.339966,3528500
2020-01-28,1840.500000,1858.109985,1830.020020,1853.250000,1853.250000,2808000
2020-01-29,1864.000000,1874.750000,1855.020020,1858.000000,1858.000000,2088000
2020-01-30,1858.000000,1872.869995,1850.609985,1870.680054,1870.680054,6327400
2020-01-31,2051.469971,2055.719971,2002.270020,2008.719971,2008.719971,15567300
2020-02-03,2010.599976,2048.500000,2000.250000,2004.199951,2004.199951,5899100
2020-02-04,2029.880005,2059.800049,2015.369995,2049.669922,2049.669922,5289300
2020-02-05,2071.020020,2071.020020,2032.000000,2039.869995,2039.869995,4376200
2020-02-06,2041.020020,2056.300049,2024.800049,2050.229980,2050.229980,3183000
2020-02-07,2041.989990,2098.530029,2038.099976,2079.280029,2079.280029,5095300
2020-02-10,2085.010010,2135.600098,2084.959961,2133.909912,2133.909912,5056200
